image,tiff_ssim,ai_ssim,tiff_psnr,ai_psnr,ssim_delta,psnr_delta
2024_10_08_10-09-29,0.337,0.6168,14.31,23.46,0.2798,9.15
2024_10_08_10-37-22,0.3312,0.6202,13.65,21.39,0.289,7.74
2024_10_08_11-33-32,0.2098,0.5336,13.71,24.39,0.3238,10.68
2024_10_08_11-35-59,0.2292,0.4989,12.28,24.01,0.2697,11.73
2024_10_08_11-40-27,0.1737,0.4561,12.14,23.47,0.2824,11.33
2024_10_09_10-17-50,0.2382,0.4911,12.22,17.11,0.2529,4.89
2024_10_09_10-18-39,0.2805,0.5641,14.36,20.38,0.2836,6.02
2024_10_09_10-25-00,0.2282,0.5157,13.0,23.52,0.2875,10.52
2024_10_09_11-43-46,0.3145,0.5987,14.29,25.61,0.2842,11.32
2024_10_09_11-44-25,0.239,0.5325,11.66,23.51,0.2935,11.85
2024_10_09_12-07-14,0.2178,0.5425,13.12,23.92,0.3247,10.8
2024_10_09_12-23-21,0.2757,0.5645,16.0,24.76,0.2888,8.76
2025_01_08_10-24-27,0.3489,0.5986,10.29,24.69,0.2497,14.4
2025_01_13_09-58-43,0.1961,0.5813,11.04,26.81,0.3852,15.77
2025_01_21_09-19-21,0.5327,0.6368,10.14,25.75,0.1041,15.61
2025_01_21_09-29-49,0.4503,0.663,11.28,24.77,0.2127,13.49
2025_01_21_09-35-46,0.3983,0.6166,10.94,25.84,0.2183,14.9
2025_01_22_09-47-02,0.425,0.5921,10.84,20.42,0.1671,9.58
2025_01_22_09-53-41,0.2864,0.5943,11.2,23.0,0.3079,11.8
2025_01_22_09-58-08,0.5266,0.6344,11.02,22.03,0.1078,11.01
